depth,Att0,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,Att34,Att35
277.2716,0.961199,0.994657,1.059108,1.086718,1.089686,1.09347,1.051209,0.997409,1.078767,1.103771,1.034634,0.971005,1.062637,0.937681,0.95189,0.953644,1.20545,0.978907,0.94203,0.962198,0.966638,0.906436,0.935162,0.960501,0.994857,0.973104,1.01525,1.029318,1.043243,1.076789,1.039581,1.04674,1.064511,1.041045,1.153809,0.988755
277.3096,0.961199,0.994657,1.059108,1.086718,1.089686,1.09347,1.051209,0.997409,1.078767,1.103771,1.034634,0.971005,1.062637,0.937681,0.95189,0.953644,1.20545,0.978907,0.94203,0.962198,0.966638,0.906436,0.935162,0.960501,0.994857,0.973104,1.01525,1.029318,1.043243,1.076789,1.039581,1.04674,1.064511,1.041045,1.153809,0.988755
277.3478,1.281787,1.017707,1.059948,1.048671,1.176875,1.127384,1.074814,1.073235,1.086392,0.969828,1.00807,1.055392,1.164714,1.009434,1.01146,0.92147,0.947539,0.961551,0.973485,0.991351,1.019293,0.950215,0.919382,0.974605,1.005518,1.01293,1.056057,1.061135,1.037457,1.010001,1.081926,1.022003,1.092203,1.156842,1.159356,0.902678
277.3859,1.281787,1.017707,1.059948,1.048671,1.176875,1.127384,1.074814,1.073235,1.086392,0.969828,1.00807,1.055392,1.164714,1.009434,1.01146,0.92147,0.947539,0.961551,0.973485,0.991351,1.019293,0.950215,0.919382,0.974605,1.005518,1.01293,1.056057,1.061135,1.037457,1.010001,1.081926,1.022003,1.092203,1.156842,1.159356,0.902678
277.424,1.082016,1.028908,1.039361,1.114337,1.11119,1.12093,1.09661,1.109608,1.033351,0.990424,1.024435,1.027817,1.01963,0.927428,0.966977,0.916562,0.893262,0.94835,0.913635,0.959047,1.027295,0.947271,0.934663,1.013453,1.006418,1.01057,1.081027,1.100999,1.04161,1.136347,1.144228,1.059916,1.113658,1.181873,1.045469,1.033473
277.4621,1.082016,1.028908,1.039361,1.114337,1.11119,1.12093,1.09661,1.109608,1.033351,0.990424,1.024435,1.027817,1.01963,0.927428,0.966977,0.916562,0.893262,0.94835,0.913635,0.959047,1.027295,0.947271,0.934663,1.013453,1.006418,1.01057,1.081027,1.100999,1.04161,1.136347,1.144228,1.059916,1.113658,1.181873,1.045469,1.033473
277.5001,1.082016,1.028908,1.039361,1.114337,1.11119,1.12093,1.09661,1.109608,1.033351,0.990424,1.024435,1.027817,1.01963,0.927428,0.966977,0.916562,0.893262,0.94835,0.913635,0.959047,1.027295,0.947271,0.934663,1.013453,1.006418,1.01057,1.081027,1.100999,1.04161,1.136347,1.144228,1.059916,1.113658,1.181873,1.045469,1.033473
277.5383,1.005023,0.94131,0.939191,0.94712,1.016054,1.068753,1.091233,1.053205,1.005345,0.968845,1.034554,0.978216,0.987661,0.905985,0.970157,0.997443,1.047598,0.892042,0.96154,0.973045,1.016588,0.96336,0.922273,0.999915,1.003725,0.988615,0.993889,0.978087,1.019881,0.965992,1.078771,1.008739,1.135288,1.092066,1.016409,1.076778
277.5764,1.005023,0.94131,0.939191,0.94712,1.016054,1.068753,1.091233,1.053205,1.005345,0.968845,1.034554,0.978216,0.987661,0.905985,0.970157,0.997443,1.047598,0.892042,0.96154,0.973045,1.016588,0.96336,0.922273,0.999915,1.003725,0.988615,0.993889,0.978087,1.019881,0.965992,1.078771,1.008739,1.135288,1.092066,1.016409,1.076778
277.6145,0.963705,0.999583,0.983158,1.08277,1.115865,1.134338,1.111633,1.090225,1.077355,1.078826,1.08388,1.057997,1.019081,0.994211,1.055255,1.034114,1.007967,0.929548,0.929562,1.030346,1.001893,0.893879,0.985113,1.008639,0.982291,0.982977,1.058377,1.085615,0.954672,1.179965,1.080151,1.036327,1.112678,1.12682,1.105971,1.028107
277.6525,0.963705,0.999583,0.983158,1.08277,1.115865,1.134338,1.111633,1.090225,1.077355,1.078826,1.08388,1.057997,1.019081,0.994211,1.055255,1.034114,1.007967,0.929548,0.929562,1.030346,1.001893,0.893879,0.985113,1.008639,0.982291,0.982977,1.058377,1.085615,0.954672,1.179965,1.080151,1.036327,1.112678,1.12682,1.105971,1.028107
277.6907,0.963705,0.999583,0.983158,1.08277,1.115865,1.134338,1.111633,1.090225,1.077355,1.078826,1.08388,1.057997,1.019081,0.994211,1.055255,1.034114,1.007967,0.929548,0.929562,1.030346,1.001893,0.893879,0.985113,1.008639,0.982291,0.982977,1.058377,1.085615,0.954672,1.179965,1.080151,1.036327,1.112678,1.12682,1.105971,1.028107
277.7288,1.042827,1.079862,1.030175,1.063814,1.120764,1.099078,1.132971,1.064471,1.043446,1.039111,1.070929,1.077632,1.046194,0.989917,0.98366,0.968804,1.012432,0.959612,0.929104,0.993299,1.093551,0.963182,0.933648,0.95799,0.96934,0.98694,1.027965,0.991282,1.034916,0.986147,1.051617,1.097327,1.148637,1.116418,0.984619,0.907342
277.7669,1.042827,1.079862,1.030175,1.063814,1.120764,1.099078,1.132971,1.064471,1.043446,1.039111,1.070929,1.077632,1.046194,0.989917,0.98366,0.968804,1.012432,0.959612,0.929104,0.993299,1.093551,0.963182,0.933648,0.95799,0.96934,0.98694,1.027965,0.991282,1.034916,0.986147,1.051617,1.097327,1.148637,1.116418,0.984619,0.907342
277.8049,1.042827,1.079862,1.030175,1.063814,1.120764,1.099078,1.132971,1.064471,1.043446,1.039111,1.070929,1.077632,1.046194,0.989917,0.98366,0.968804,1.012432,0.959612,0.929104,0.993299,1.093551,0.963182,0.933648,0.95799,0.96934,0.98694,1.027965,0.991282,1.034916,0.986147,1.051617,1.097327,1.148637,1.116418,0.984619,0.907342
277.8431,1.035985,1.073022,1.039488,1.010853,1.08631,1.087233,1.051447,1.018716,1.018989,1.038071,0.979913,1.038319,1.045372,0.964411,0.970696,0.958078,0.991591,0.922007,0.903927,0.98965,1.104736,0.991885,0.967368,0.946011,0.873163,0.897761,0.965319,1.014518,0.985641,1.013655,1.080788,1.055742,1.183443,1.097529,0.962057,1.097459
277.8812,1.035985,1.073022,1.039488,1.010853,1.08631,1.087233,1.051447,1.018716,1.018989,1.038071,0.979913,1.038319,1.045372,0.964411,0.970696,0.958078,0.991591,0.922007,0.903927,0.98965,1.104736,0.991885,0.967368,0.946011,0.873163,0.897761,0.965319,1.014518,0.985641,1.013655,1.080788,1.055742,1.183443,1.097529,0.962057,1.097459
277.9193,0.973523,1.039986,0.978083,0.976639,1.043511,1.052873,1.097417,1.025226,1.061272,1.07214,1.019334,1.063867,1.031062,0.9822,1.062418,1.055471,1.00739,0.952044,0.914194,0.987701,1.085652,0.977195,0.944596,1.016339,0.991479,0.930894,1.049762,0.96391,0.938186,1.031968,1.03905,0.987275,1.067127,1.068814,0.818457,0.882361
